authorPerson,work,citationYear,familyName,givenName,name,birthYear,deathYear
http://e-editiones.ch/project/data/delille#person-chemin-dupontes,http://e-editiones.ch/project/data/delille#work-chemin-dupontesexercices,1833,Chemin-Dupontès,Jean-Baptiste,,,
http://e-editiones.ch/project/data/delille#person-chenedolle,http://e-editiones.ch/project/data/delille#work-procesverballiege,1825,Chênedollé,Charles-Auguste de,,,
http://e-editiones.ch/project/data/delille#person-chevalier,http://e-editiones.ch/project/data/delille#work-chevalierfille,1878,Chevalier,Henri-Émile,,,
http://e-editiones.ch/project/data/delille#person-clair,http://e-editiones.ch/project/data/delille#work-clairgrammaire,1847,Clair,Mesdames,,,
http://e-editiones.ch/project/data/delille#person-clavareau,http://e-editiones.ch/project/data/delille#work-clavareaunation,1825,Clavareau,Antoine Joseph Théodore Auguste,,,
http://e-editiones.ch/project/data/delille#person-clement,http://e-editiones.ch/project/data/delille#work-clementrecueil,1801,Clément,Jean-Marie,,,
http://e-editiones.ch/project/data/delille#person-clerc,http://e-editiones.ch/project/data/delille#work-clercguide,1837,Clerc,Louis (fils),,,
http://e-editiones.ch/project/data/delille#person-colnet,http://e-editiones.ch/project/data/delille#work-colnetcompterendujournaldopposition,1800,Colnet du Ravel,Charles Joseph,,,
http://e-editiones.ch/project/data/delille#person-comteachille,http://e-editiones.ch/project/data/delille#work-comteargonautemagasin,1837,Comte,Achille,,,
http://e-editiones.ch/project/data/delille#person-corpet,http://e-editiones.ch/project/data/delille#work-siliuspuniques,1836,Corpet,Étienne-François,,,
http://e-editiones.ch/project/data/delille#person-cortambert,http://e-editiones.ch/project/data/delille#work-benoitcuriosites,1846,Cortambert,Eugène,,,
http://e-editiones.ch/project/data/delille#person-croizet,http://e-editiones.ch/project/data/delille#work-croizetjobertrecherches,1828,Croizet,Jean-Baptiste,,,
http://e-editiones.ch/project/data/delille#person-cuchetet,http://e-editiones.ch/project/data/delille#work-cuchetetsouvenirs,1828,Cuchetet,Charles,,,
http://e-editiones.ch/project/data/delille#person-daux,http://e-editiones.ch/project/data/delille#work-dauxpetitshommes,1822,Daux,Jean-André,,,
http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1800,David,Pierre,,,
http://e-editiones.ch/project/data/delille#person-decker,http://e-editiones.ch/project/data/delille#work-deckerannonce,1800,Decker,Georg Jakob,,,
http://e-editiones.ch/project/data/delille#person-delalande,http://e-editiones.ch/project/data/delille#work-delalandeannalesnantes,1848,Delalande,Jean-Marie,,,
http://e-editiones.ch/project/data/delille#person-delille,http://e-editiones.ch/project/data/delille#work-delilletroisregnes,1808,Delille,Jacques,,,
http://e-editiones.ch/project/data/delille#person-delille,http://e-editiones.ch/project/data/delille#work-cabinetapis,1854,Delille,Jacques,,,
http://e-editiones.ch/project/data/delille#person-delille,http://e-editiones.ch/project/data/delille#work-almanachfragment,1798,Delille,Jacques,,,
http://e-editiones.ch/project/data/delille#person-denne-baron,http://e-editiones.ch/project/data/delille#work-dennebaronfleurspoetiques,1825,Denne-Baron,Pierre-Jacques-René,,,
http://e-editiones.ch/project/data/delille#person-depery,http://e-editiones.ch/project/data/delille#work-deperylettre,1833,Depéry,Jean-Irénée,,,
http://e-editiones.ch/project/data/delille#person-dessiaux,http://e-editiones.ch/project/data/delille#work-dessiauxtraite,1840,Dessiaux,Joseph,,,
http://e-editiones.ch/project/data/delille#person-dethier,http://e-editiones.ch/project/data/delille#work-dethiercoup,1803,Dethier,Laurent-François,,,
http://e-editiones.ch/project/data/delille#person-deveze,http://e-editiones.ch/project/data/delille#work-devezeessai,1827,Devèze de Chabriol,Jean-Sébastien,,,
http://e-editiones.ch/project/data/delille#person-dinaux,http://e-editiones.ch/project/data/delille#work-archiveshistoriquesdinaux,1851,Dinaux,Arthur,,,
http://e-editiones.ch/project/data/delille#person-dochez,http://e-editiones.ch/project/data/delille#work-docheznouveaudictionnaire,1860,Dochez,Louis,,,
http://e-editiones.ch/project/data/delille#person-dubois,http://e-editiones.ch/project/data/delille#work-duboiscours,1851,Dubois,Nicolas-Auguste,,,
http://e-editiones.ch/project/data/delille#person-duboisamand,http://e-editiones.ch/project/data/delille#work-duboisdanslesbois,1882,Dubois,Amand,,,
http://e-editiones.ch/project/data/delille#person-duboisdesiles,http://e-editiones.ch/project/data/delille#work-duboisdesilesvelo,1897,,,Dubois des Îles,,
http://e-editiones.ch/project/data/delille#person-ducondut,http://e-editiones.ch/project/data/delille#work-ducondutessai,1856,Ducondut,Jean-Ambroise,,,
http://e-editiones.ch/project/data/delille#person-dufour,http://e-editiones.ch/project/data/delille#work-dufourechoalpes,1879,Dufour,Théophile,,,
http://e-editiones.ch/project/data/delille#person-dupetitthouars,http://e-editiones.ch/project/data/delille#work-dupetitthouarshistoire,1815,Aubert Du Petit-Thouars,Aubert,,,
http://e-editiones.ch/project/data/delille#person-dureaudelamalle,http://e-editiones.ch/project/data/delille#work-dureaudelamallepyrenees,1808,Dureau de La Malle,Adolphe,,,
http://e-editiones.ch/project/data/delille#person-durlin,http://e-editiones.ch/project/data/delille#work-durlindictionnaire,1848,Durlin,Henri,,,
http://e-editiones.ch/project/data/delille#person-dusuzeau,http://e-editiones.ch/project/data/delille#work-dusuzeauchoix,1862,Dusuzeau,Jules,,,
http://e-editiones.ch/project/data/delille#person-enzenberg,http://e-editiones.ch/project/data/delille#work-hesperusenzenberg,1811,Enzenberg,Franz Josef,,,
http://e-editiones.ch/project/data/delille#person-escherny,http://e-editiones.ch/project/data/delille#work-eschernymelanges,1811,Escherny,François-Louis d',,,
http://e-editiones.ch/project/data/delille#person-fabricius,http://e-editiones.ch/project/data/delille#work-fabriciusresultate,1804,Fabricius,Johann Christian,,,
http://e-editiones.ch/project/data/delille#person-feriere,http://e-editiones.ch/project/data/delille#work-feriereclef,1815,Ferière,A.,,,
http://e-editiones.ch/project/data/delille#person-filhol,http://e-editiones.ch/project/data/delille#work-rameshommefossile,1862,Filhol,Henri,,,
http://e-editiones.ch/project/data/delille#person-fm,http://e-editiones.ch/project/data/delille#work-petitmanuel,1853,,,F. M.,,
http://e-editiones.ch/project/data/delille#person-fonseca,http://e-editiones.ch/project/data/delille#work-fonsecadictionnaire,1842,Fonseca (da),José,,,
http://e-editiones.ch/project/data/delille#person-fontanes,http://e-editiones.ch/project/data/delille#work-fontanescompterendumercure,1800,Fontanes,Louis de,,,
http://e-editiones.ch/project/data/delille#person-fontanes,http://e-editiones.ch/project/data/delille#work-parisfontaneshomme,1800,Fontanes,Louis de,,,
